ts,name,value,unit,mode,pid,bus
2026-07-21T22:40:55.066713002+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:55.115637540+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:40:56.046710356+00:00,engine_rpm,677,rpm,1,12,hs
2026-07-21T22:40:56.086617003+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:56.134621495+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:56.175659669+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:56.220683512+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:56.266735150+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:40:57.155714766+00:00,engine_rpm,674.25,rpm,1,12,hs
2026-07-21T22:40:57.201618598+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:57.246676677+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:57.335700773+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:57.379607453+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:57.415772041+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:40:58.294634685+00:00,engine_rpm,682,rpm,1,12,hs
2026-07-21T22:40:58.358693443+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:58.396672831+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:58.445604024+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:58.487719073+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:58.531649822+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:40:59.415663075+00:00,engine_rpm,671.75,rpm,1,12,hs
2026-07-21T22:40:59.516651521+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:59.565705127+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:59.606641146+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:59.650693791+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:59.685640104+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:41:00.546685492+00:00,engine_rpm,671.75,rpm,1,12,hs
2026-07-21T22:41:00.594727643+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:00.636626406+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:00.680641953+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:00.716728587+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:00.766666490+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:41:01.655711646+00:00,engine_rpm,669,rpm,1,12,hs
2026-07-21T22:41:01.806719334+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:01.846740393+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:01.898643776+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:01.964651236+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:02.006673348+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:41:02.895689327+00:00,engine_rpm,676.5,rpm,1,12,hs
2026-07-21T22:41:02.943613356+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:02.986687139+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:03.076630017+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:03.119663082+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:03.156763461+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:41:04.034657399+00:00,engine_rpm,679.75,rpm,1,12,hs
2026-07-21T22:41:04.099658575+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:04.135722124+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:04.184650604+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:04.225798229+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:04.271739327+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:41:05.175647776+00:00,engine_rpm,674,rpm,1,12,hs
2026-07-21T22:41:05.225647110+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:05.267770471+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:05.314632480+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:05.355714044+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:05.398644185+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:41:06.275650868+00:00,engine_rpm,679.75,rpm,1,12,hs
2026-07-21T22:41:06.355638222+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:06.405619256+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:06.448689784+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:06.496679881+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:06.536633636+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:41:07.425540203+00:00,engine_rpm,679,rpm,1,12,hs
2026-07-21T22:41:07.471623637+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:07.515733794+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:07.560635633+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:07.595813818+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:07.645721226+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:41:08.515725406+00:00,engine_rpm,675.75,rpm,1,12,hs
2026-07-21T22:41:08.615662308+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:08.665625725+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:08.708659472+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:08.795635061+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:08.876652385+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:41:09.735648646+00:00,engine_rpm,671.75,rpm,1,12,hs
2026-07-21T22:41:09.783610643+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:09.826696119+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:09.868696043+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:09.908657256+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:09.955727626+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:41:10.825663925+00:00,engine_rpm,673.5,rpm,1,12,hs
2026-07-21T22:41:10.926749204+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:10.974689043+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:11.015696706+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:11.059646310+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:11.095715139+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:41:11.985679757+00:00,engine_rpm,673.5,rpm,1,12,hs
2026-07-21T22:41:12.026622967+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:12.071800294+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:12.116676304+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:12.163655614+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:12.208717067+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:41:13.096702936+00:00,engine_rpm,672.5,rpm,1,12,hs
2026-07-21T22:41:13.139625269+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:13.176742235+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:13.226701316+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:13.266767101+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:13.313600658+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:41:14.185671689+00:00,engine_rpm,673.75,rpm,1,12,hs
2026-07-21T22:41:14.266614854+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:14.313649224+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:14.355715943+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:14.403807135+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:14.445664143+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:41:15.316815167+00:00,engine_rpm,682,rpm,1,12,hs
2026-07-21T22:41:15.365719336+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:15.406677805+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:15.446755795+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:15.486787038+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:15.533644473+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:41:16.385788472+00:00,engine_rpm,676.75,rpm,1,12,hs
2026-07-21T22:41:16.433695963+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:16.475698247+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:16.521887198+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:16.566659924+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:16.655634620+00:00,engine_load,34.509803921568626,%,1,4,hs
2026-07-21T22:41:17.546682161+00:00,engine_rpm,673.5,rpm,1,12,hs
2026-07-21T22:41:17.679664962+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:17.716657937+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:17.766691098+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:17.808671102+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:17.896695652+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:41:18.786662832+00:00,engine_rpm,674,rpm,1,12,hs
2026-07-21T22:41:18.833630615+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:18.875675887+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:19.024669134+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:19.066653084+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:19.110637841+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:41:19.966694792+00:00,engine_rpm,675.75,rpm,1,12,hs
2026-07-21T22:41:20.014669571+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:20.056636428+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:20.103673277+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:20.146679666+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:20.186767387+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:41:21.056744639+00:00,engine_rpm,675.25,rpm,1,12,hs
2026-07-21T22:41:21.108687107+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:21.146715894+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:21.193635847+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:21.235866111+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:21.283678771+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:41:22.166655628+00:00,engine_rpm,676.5,rpm,1,12,hs
2026-07-21T22:41:22.213658043+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:22.255633995+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:22.346611028+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:22.388666269+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:22.426648268+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:41:23.286652056+00:00,engine_rpm,671.25,rpm,1,12,hs
2026-07-21T22:41:23.376630577+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:23.423640252+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:23.491708210+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:23.574714104+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:23.615714173+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:41:24.475697568+00:00,engine_rpm,673.75,rpm,1,12,hs
2026-07-21T22:41:24.628644478+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:24.666741135+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:24.770691300+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:24.816890210+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:24.858671736+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:41:25.716664530+00:00,engine_rpm,673.75,rpm,1,12,hs
2026-07-21T22:41:25.763671018+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:25.846730311+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:25.885716813+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:25.933668523+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:25.975657228+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:41:26.866704190+00:00,engine_rpm,676.75,rpm,1,12,hs
2026-07-21T22:41:26.909653413+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:41:26.956696092+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:41:26.994715117+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:41:27.061727022+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:41:27.149690817+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:41:28.026657799+00:00,engine_rpm,678,rpm,1,12,hs
2026-07-21T22:41:28.070707464+00:00,vehicle_speed,0,km/h,1,13,hs
