Address,Byte Values,,,"Body Control Module BCM 726-XX-XX (JU5T-AA*, BA*, CA*, DA*, EA*, FA, GA*, GG*, HA*)",,Notes
726-24-02,x*xx,xxxx,xxxx,Puddle Lamp Cirtuit DTC,"0=Normal, 1=Inhibited",
,,,,Common Input Processes,,
726-25-01,x*xx,xxxx,xxxx,Deck Lid Key Switch Cfg,"0=Disabled, 1=Enabled",
726-25-01,xxx*,xxxx,xxxx,DF Door Key Cfg,"0=Disabled, 1=Enabled",
726-25-01,xxxx,x*xx,xxxx,Liftgate Trunk Cfg,"0=None, 1=Liftgate, 2=Trunk",
726-25-01,xxxx,xxx*,xxxx,Number of Side Doors,"0=Four, 1=Two",
726-25-01,xxxx,xxxx,x*xx,Double Lock Cfg,"0=Double, 1=Single",
726-25-02,x*xx,xxxx,xxxx,Transit Vehicle Rear Cfg,"0=Liftgate, 1=RHCD (Rear Hinged Cargo Door)",
726-25-02,xxx*,xxxx,xxxx,Headlamp Style Cfg,"0=BI_FUNC Halogen, 1=BI_FUNC HID, 2=Dual, 3=Quad",
726-25-02,xxxx,x*xx,xxxx,Parking with License Lamps Cfg,"0=Disabled, 1=Enabled",
,,,,Exterior Lighting,,
726-26-01,x*xx,xxxx,xxxx,Ambient Light Sensor Present Cfg,"0=Not Present, 1=Present",
726-26-01,xxx*,xxxx,xxxx,Ambient Light Sensor Type Cfg,"0=Slow_FNA (Autolamp Only), 1=Fast_ROW (Autolamp Sunload)
Slow_FNA=15 seconds delay turning on headlamps when dark.
Fast_ROW=2 seconds delay turning on headlamps when dark.",
726-26-01,xxxx,x*xx,xxxx,Cornering Present Cfg,"0=Disabled, 1=Enabled",
726-26-01,xxxx,xxx*,xxxx,Ctrl Stop Position Cfg,"0=Duty_Duty, 1=Duty_VRMS, 2=VRMS_Duty, 3=VRMS_VRMS",
726-26-01,xxxx,xxxx,x*xx,DRL Conditions Cfg,"0=Option A, 1=Option B
Option A=headlamp switch must be in Auto position for DRLs.
Option B=headlamp switch can be in any position for DRLs.",
726-26-02,x*xx,xxxx,xxxx,DRL Include Park Lamps,"0=Disabled, 1=Enabled",
726-26-02,xxx*,xxxx,xxxx,DRL Switchback w/Turn Signal,"0=Disabled, 1=Enabled",
726-26-02,xxxx,x*xx,xxxx,Emergency Brake Light Enable Cfg,"0=Disabled, 1=Enabled",
726-26-02,xxxx,xxx*,xxxx,Frequency Select Cfg,"0=Type 0 (LED), 1=Type 1 (Halogen), 2=Type 2, 3=Type 3 ",
726-26-02,xxxx,xxxx,x*xx,Headlamps Outage Cfg,"0=None, 1=Both, 2=High, 3=Low",
,,,,Exterior Lighting,,
726-27-01,x*xx,xxxx,xxxx,Front Bulb Turn Outage Cfg,"0=No Outage, 1=Outage",
726-27-01,xxx*,xxxx,xxxx,Front LED Turn Outage Cfg,"0=No Outage, 1=Outage",
726-27-01,xxxx,x*xx,xxxx,Front Fog Auto Cancel Cfg,"0=No Cancel, 1=Cancel",
726-27-01,xxxx,xxx*,xxxx,Front Fog with High Beams Cfg,"0=Allow, 1=inhibit",
726-27-01,xxxx,xxxx,*xxx,High Beam Mode Cfg,"0=Auto Cancel, 1=Persistent",
726-27-02,x*xx,xxxx,xxxx,ABM Outage Cfg,"0=No Outage, 1=Outage",
726-27-02,xxx*,xxxx,xxxx,Low Beam Outage Cfg,"0=No Outage, 1=Outage",
726-27-02,xxxx,x*xx,xxxx,Trailer Outage Cfg,"0=No Outage, 1=Outage",
726-27-02,xxxx,xxx*,xxxx,Rain Light Sensor Present Cfg,"0=Not Present, 1=Present",
726-27-02,xxxx,xxxx,x*xx,Rear Bulb Turn Outage Cfg,"0=No Outage, 1=Outage",
,,,,Exterior Lighting,,
726-28-01,x*xx,xxxx,xxxx,Rear LED Turn Outage Cfg,"0=No Outage, 1=Outage",
726-28-01,xxx*,xxxx,xxxx,Rear LED Turn Outage Circuit Used Cfg,"0=Stop_Position Lamp, 1=Turn_Lamp",
726-28-01,xxxx,x*xx,xxxx,Rear Fog Enable Cfg,"0=Disabled, 1=Enabled",
